"economic_object_code","economic_object_code_descn"
"2304","Other payments for development assistance to foreign countries"
"2311","Payments to United Nations and related organizations"
"2312","Contributions to North Atlantic Treaty Organization (NATO) and NATO - related programs"
"2314","Payments to the International Development Association"
"2315","Payments to international banks and financial institutions"
"2319","Payments to other international organizations"
"2321","Transfer payments to promote Canadian export sales"
"2322","International Food Aid Program"
"2323","Transfer payments to Thirty Meter Telescope"
"2329","Other transfer payments outside Canada to or on behalf of international organizations and foreign countries"
"2390","Foreign exchange gain/loss on transfer payments"
"2411","Payments to universities in aid of research"
"2412","Assistance to encourage employment"
"2419","Other Transfer payments to universities"
"2421","Payments to First Nations, Inuit and Métis school boards"
"2422","Payments to other First Nations, Inuit and Métis educational institutions"
"2423","Payments to other First Nations, Inuit and Métis associations"
"2431","Payments to non-profit national organizations"
"2432","Payments to provincial/territorial non-profit organizations"
"2433","Payments to local non-profit organizations"
"2434","Assistance to non-profit organizations to encourage employment"
"2436","Payments for research and development to non-profit organizations"
"2437","Payments for the environment to non-profit organizations"
"2449","Other transfer payments to non-profit institutions and other organizations"
"2451","Payments to Crown corporations"
"2611","Grants in lieu of property taxes paid to municipalities"
"2613","Assistance to municipalities to encourage employment"
"2614","Payments to municipalities under Canada Infrastructure Program"
"2619","Other Transfer payments to municipalities"
"2621","Payments to non-native educational institutions"
"2622","Payments to non-native school boards"
"2811","Grants in lieu of taxes recovered from other departments"
"2821","Provision for valuation for loans, investments and advances"
"2822","Expenses for accrued liabilities"
"2823","Removal of low value amounts related to transfer payments"
"2824","Provision for concessionary terms"
"3001","Atomic Energy of Canada Ltd."
"3003","Canada Mortgage and Housing Corporation"
"3005","Canadian Commercial Corporation"
"3009","National Capital Commission"
"3010","Export Development Canada"
"3011","Standards Council of Canada"
"3012","VIA Rail Canada Inc."
"3013","VIA HFR - VIA TGF Inc."
"3014","The Jacques-Cartier and Champlain Bridges Inc."
"3017","Marine Atlantic Inc."
"3018","Canadian Dairy Commission"
"3023","Canadian Museum for Human Rights"
"3024","Canadian Museum of Civilization"
"3025","Canadian Museum of Nature"
"3026","National Museum of Science and Technology"
"3027","National Gallery of Canada"
"3029","Other"
"3030","Canadian Tourism Commission Corporation"
"3031","Enterprise Cape Breton"
"3032","Canadian Museum of Immigration at Pier 22"
"3033","Canada Innovation Corporation"
"3041","Canada Post Corporation"
