"Vendor","postal_code_vendor","contract_date","contract_value","commodity_code","commodity_code_descn","economic_object_code","economic_object_code_descn","contract_period_start","delivery_date","reporting_period","avg_lat","avg_long"
"PROFESSIONAL MEDICAL CORP","A1W","2020-04-02",18400,"G009","Other Health Services",491,"Management consulting","2020-04-02","2020-08-30","2020-2021-Q1",47.5196008772314,-52.9423637507504
"PROFESSIONAL MEDICAL CORP","A1W","2020-04-02",46000,"G009","Other Health Services",491,"Management consulting","2020-04-02","2021-03-31","2020-2021-Q3",47.5196008772314,-52.9423637507504
"PROFESSIONAL MEDICAL CORP","A1W","2020-01-09",22548.63,"G009","Other Health Services",491,"Management consulting","2020-01-09","2020-03-31","2019-2020-Q4",47.5196008772314,-52.9423637507504
"PROFESSIONAL MEDICAL CORP","A1W","2019-04-09",24999,"G009","Other Health Services",491,"Management consulting","2019-04-09","2019-09-30","2019-2020-Q1",47.5196008772314,-52.9423637507504
"PROFESSIONAL MEDICAL CORP","A1W","2014-03-13",549465.16,"G009","Other Health Services",491,"Management consulting","2014-03-13","2019-03-31","2018-2019-Q1",47.5196008772314,-52.9423637507504
"REPUBLIC ARCHITECTURE INC.","R3C","2024-02-07",69378.75,"C211","Architect - Engineer Services (incl. landscaping, interior layout a",473,"Information technology and telecommunications consultants","2024-02-07","2025-03-31","2023-2024-Q4",49.8927276792683,-97.1415331348432
"Ryan/Smith Design Associates Inc.","K1Y","2022-06-02",10729.35,"T005","Arts/Graphics Services",473,"Information technology and telecommunications consultants","2022-06-02","2022-09-30","2022-2023-Q1",45.3981215423033,-75.7311820247368
"S. I. Systems","T2P","2017-05-15",771923.99,"D307","Automated Information System Design and Integration Services",473,"Information technology and telecommunications consultants","2014-05-22","2017-11-22","2017-2018-Q1",51.0472960990544,-114.070190515019
"S. I. Systems","T2P","2014-05-22",836145.56,"D307","Automated Information System Design and Integration Services",473,"Information technology and telecommunications consultants","2014-05-22","2018-04-30","2017-2018-Q4",51.0472960990544,-114.070190515019
"S. I. Systems","T2P","2024-02-27",448610,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2024-02-27","2026-01-10","2025-2026-Q1",51.0472960990544,-114.070190515019
"S. I. Systems","T2P","2022-04-14",35253.06,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2022-05-16","2023-01-11","2022-2023-Q1",51.0472960990544,-114.070190515019
"S. I. Systems","T2P","2022-02-18",41010.33,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2022-02-18","2023-01-11","2022-2023-Q4",51.0472960990544,-114.070190515019
"S. I. Systems","T2P","2022-02-18",63908.13,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2022-02-18","2023-01-11","2021-2022-Q4",51.0472960990544,-114.070190515019
"S. I. Systems","T2P","2022-02-18",68289.29,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2022-02-18","2023-01-11","2021-2022-Q4",51.0472960990544,-114.070190515019
"S. I. Systems","T2P","2022-02-18",22217.45,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2022-02-18","2023-01-11","2022-2023-Q3",51.0472960990544,-114.070190515019
"S. MARGARET GRANT","B2N","2018-08-30",68999.8,"G103","Social Rehabilitation Services",491,"Management consulting","2018-08-30","2019-03-31","2018-2019-Q2",45.3638183864602,-63.27333780137
"SAP CANADA INC.","M2P","2021-11-15",69093.85,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2021-11-15","2022-11-15","2021-2022-Q3",43.7494541746269,-79.3987167338309
"SCHMALZ CONSULTING LTD","T2P","2017-04-05",1741458.76,"G009","Other Health Services",491,"Management consulting","2011-09-09","2017-03-31","2017-2018-Q1",51.0472960990544,-114.070190515019
"SCHMALZ CONSULTING LTD","T2P","2017-01-17",1731423.89,"G009","Other Health Services",491,"Management consulting","2011-09-09","2017-03-31","2016-2017-Q4",51.0472960990544,-114.070190515019
"SHIFT PEOPLE DEVELOPMENT INC","A1E","2022-07-27",16387.5,"U008","Training/Curriculum Development",491,"Management consulting","2022-07-27","2023-03-31","2022-2023-Q2",47.5388947460084,-52.7489019548319
"SHIFT PEOPLE DEVELOPMENT INC","A1E","2021-03-16",22080,"U008","Training/Curriculum Development",491,"Management consulting","2021-03-16","2022-03-31","2020-2021-Q4",47.5388947460084,-52.7489019548319
"STANTEC ARCHITECTURE LIMITED","B3A","2023-05-12",15850.45,"C219","Other Architect and Engineering Services",499,"Other professional services not elsewhere specified","2023-05-12","2024-03-31","2023-2024-Q1",44.678484380951,-63.5786196109698
"SYSTEMATIX IT SOLUTIONS INC.","K1S","2024-11-18",99180.1,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2024-11-18","2025-07-25","2024-2025-Q3",45.3999446163743,-75.6897008576023
"SYSTEMATIX IT SOLUTIONS INC.","K1S","2018-10-16",313733.2,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2018-10-16","2019-10-15","2018-2019-Q3",45.3999446163743,-75.6897008576023
"SYSTEMATIX IT SOLUTIONS INC.","K1S","2018-08-27",24652.08,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2018-08-27","2018-08-27","2018-2019-Q2",45.3999446163743,-75.6897008576023
"Sarah Herr PUBLIVATE INC","N7L","2022-02-10",176575.44,"T001","Market Research and Public Opinion Services (Formerly Telephone and",491,"Management consulting","2022-02-10","2023-06-30","2022-2023-Q4",42.414039179619,-82.1996812315341
"Sarah Herr PUBLIVATE INC","N7L","2022-02-10",73382.5,"T001","Market Research and Public Opinion Services (Formerly Telephone and",491,"Management consulting","2022-02-10","2023-01-31","2021-2022-Q4",42.414039179619,-82.1996812315341
"Sarah Herr PUBLIVATE INC","N7L","2022-02-10",261884.07,"T001","Market Research and Public Opinion Services (Formerly Telephone and",491,"Management consulting","2022-02-10","2024-03-31","2023-2024-Q3",42.414039179619,-82.1996812315341
"T.E.S. CONTRACT SERVICES INC.","K2H","2022-03-10",263475.32,"R201","Civilian Personnel Recruitment (inc. Services of Employment Agencie",473,"Information technology and telecommunications consultants","2022-03-14","2023-01-11","2021-2022-Q4",45.332182524646,-75.8146631554477
"TECHNOLOGY AND BUSINESS CONSULTANTS",NA,"2014-02-17",1057182.8,"D307","Automated Information System Design and Integration Services",473,"Information technology and telecommunications consultants","2014-02-17","2019-03-29","2018-2019-Q2",NA,NA
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-11-01",271200,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-11-01","2021-05-09","2020-2021-Q1",45.4160882236607,-75.6910297770089
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-11-01",504262.5,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-11-01","2022-03-31","2021-2022-Q1",45.4160882236607,-75.6910297770089
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-10-02",144075,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-10-02","2020-05-09","2019-2020-Q3",45.4160882236607,-75.6910297770089
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-10-02",871286.95,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-10-02","2023-08-09","2023-2024-Q1",45.4160882236607,-75.6910297770089
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-10-02",810334.75,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-10-02","2023-05-09","2022-2023-Q4",45.4160882236607,-75.6910297770089
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-10-02",364990,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-10-02","2021-05-09","2020-2021-Q1",45.4160882236607,-75.6910297770089
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-05-10",22600,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-05-10","2020-05-09","2019-2020-Q1",45.4160882236607,-75.6910297770089
"TPG TECHNOLOGY CONSULTING LTD.","K2A","2024-12-06",2160786,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2024-12-06","2025-12-05","2024-2025-Q3",45.3783831132275,-75.7638900595238
"TPG TECHNOLOGY CONSULTING LTD.","K2A","2024-12-06",3035046.67,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2024-12-06","2026-03-31","2024-2025-Q4",45.3783831132275,-75.7638900595238
"UNIVERSITY OF REGINA","S4P","2018-12-27",24600,"U006","Vocational/Technical",491,"Management consulting","2018-12-27","2019-02-15","2018-2019-Q3",50.4479415992373,-104.605420479798
"UNIVERSITY OF REGINA","S4P","2018-10-12",26040,"U006","Vocational/Technical",491,"Management consulting","2018-10-12","2018-12-30","2018-2019-Q3",50.4479415992373,-104.605420479798
"UNIVERSITY OF REGINA","S4P","2017-10-31",24300,"U006","Vocational/Technical",491,"Management consulting","2017-10-31","2018-01-31","2017-2018-Q3",50.4479415992373,-104.605420479798
"UNIVERSITY OF REGINA","S4P","2017-03-16",24000,"U006","Vocational/Technical",491,"Management consulting","2017-03-16","2017-03-31","2016-2017-Q4",50.4479415992373,-104.605420479798
"WESTOWER COMMUNICATIONS LTD.","R3P","2019-10-22",23606.05,"D399","Other ADP and Telecommunications Services (incl. data storage on ta",473,"Information technology and telecommunications consultants","2019-10-22","2020-03-31","2019-2020-Q3",49.8477027734818,-97.2041040297571
